,originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isRatable,isAdult,numRegions,userReviewsTotal,countryOfOrigin,genre1,genre2,genre3,totVotes
0,Neogenic Nightmare Chapter 3: Hydro-Man,8,1995,,40,0.0,1,0,21,1,tvEpisode,0,False,True,False,1,0,['US'],Action,Adventure,Animation,780
1,Looping,6,1982,,28,0.0,1,0,1,0,videoGame,0,False,True,False,1,0,['XWG'],Action,,,11
2,Idealnaya para,6,1992,,92,0.0,1,0,24,0,movie,0,False,True,False,1,1,['RU'],Comedy,,,38
3,MasterChef Celebrity México,6,2021,,53,0.0,22,0,56,0,tvSeries,0,True,True,False,1,0,['MX'],Reality-Tv,,,15
4,Seutateueob,8,2020,2020.0,80,1.0,347,2,47,4,tvSeries,1,True,True,False,32,452,['KR'],Comedy,Drama,Romance,15732
5,Lightdance,9,1995,,34,0.0,1,0,0,0,video,0,False,True,False,1,1,['US'],Documentary,Short,,14
6,"Kiss, Kiss Bang, Bang",8,1995,,45,0.0,5,0,110,0,tvEpisode,0,False,True,False,1,0,['US'],Drama,Romance,,96
7,Nanba MG5,8,2022,,129,0.0,7,0,69,0,tvMiniSeries,0,True,True,False,14,0,['JP'],Comedy,,,70
8,Estrela de Oito Pontas,8,1996,,12,2.0,1,0,2,0,short,0,False,True,False,1,0,['BR'],Animation,Short,,12
9,Ulot Puran,9,2022,,129,0.0,9,0,15,0,tvMiniSeries,0,True,True,False,1,0,['IN'],Drama,,,27
10,JJBA Mangabridged: Phantom Blood 2 of 2,9,2017,,44,0.0,1,0,5,0,tvMovie,0,False,True,False,1,0,['US'],Action,,,33
11,1979 AFC Championship Game,9,1980,,82,0.0,0,0,68,0,tvSpecial,0,False,True,False,1,0,['US'],Sport,,,9
12,Golubaya chashka,7,1965,,60,0.0,1,0,36,0,movie,0,False,True,False,3,0,['SUHH'],Family,,,24
13,The Formula,3,2014,,90,1.0,6,1,141,1,movie,0,False,True,False,5,4,['US'],Comedy,Romance,,762
